Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
-185938.354,0.531,-5442.047,5.0,2.703,0.0,1,0.762254,0.266573,0.02159,0.014351
-376325.243,57973.123,-251844.504,4.0,1.74,0.0266,1,1.011936,0.44196,0.082042,0.045466
-83975.903,-0.068,-1478.242,5.0,2.17,0.0,1,0.602742,0.227711,0.014859,0.010541
-44183.305,-3.765,477.782,8.0,2.177,0.0,1,0.309626,0.254254,0.016256,0.009144
-78790.734,0.313,-2019.066,8.0,1.298,0.0,1,0.467106,0.281686,0.019558,0.012192
-62233.196,-0.226,-797.435,5.0,2.348,0.0,1,0.598678,0.177927,0.012827,0.010033
422108.47,-49873.896,-239297.688,4.0,1.486,0.0266,1,1.011936,0.44196,0.082042,0.045466
69845.545,-21976.859,-129763.152,4.0,1.511,0.026,1,0.621792,0.326517,0.024384,0.015367
-18525.986,-0.211,-119.188,5.0,2.429,0.0,1,0.310388,0.164846,0.009652,0.005842
-56401.878,0.097,-1599.3,8.0,1.212,0.0,1,0.462534,0.280289,0.017272,0.010795
-21582.608,-0.93,39.966,8.0,2.264,0.0,1,0.251968,0.202819,0.013462,0.008001
-51244.697,-0.031,-714.943,5.0,1.692,0.0,1,0.598678,0.177927,0.012827,0.010033
-252829.142,37009.684,-187345.642,4.0,1.788,0.0263,1,0.999998,0.45085,0.035941,0.01905
-41326.421,-0.284,741.462,5.0,1.197,0.0,1,0.602996,0.178816,0.014986,0.010922
-32537.402,-1.421,222.945,8.0,2.196,0.0,1,0.306324,0.204343,0.014605,0.008509
-59529.398,-0.401,-909.338,8.0,1.175,0.0,1,0.678434,0.252984,0.016256,0.011684
-38720.597,-0.196,-340.78,5.0,2.471,0.0,1,0.45466,0.152781,0.013335,0.008001
292253.592,-22622.602,-177104.178,4.0,1.433,0.0266,1,0.999998,0.45085,0.035941,0.01905
357938.961,-35549.669,-238265.151,4.0,1.465,0.0265,1,0.934974,0.417957,0.069088,0.038608
-51086.647,-0.131,-1118.492,5.0,2.393,0.0,1,0.529082,0.165862,0.013589,0.009652
-72540.269,-1.886,-677.092,8.0,1.22,0.0,1,0.467106,0.281686,0.019558,0.012192
36431.291,107687.65,-323603.395,4.0,1.296,0.0275,1,1.011936,0.44196,0.082042,0.045466
70680.864,-11392.532,-126519.592,4.0,1.398,0.0218,1,0.762254,0.266573,0.02159,0.014351
7517.139,-36357.856,-121300.331,4.0,1.414,0.0207,1,0.363728,0.370967,0.021844,0.013335
7274.279,-44003.999,-183755.407,4.0,1.186,0.0241,1,0.372364,0.374015,0.026162,0.016383
59371.558,-25615.945,-187880.832,4.0,1.752,0.0232,1,0.375412,0.3937,0.027686,0.017272
74806.54,-29169.972,-252216.066,4.0,1.275,0.0261,1,0.773176,0.380619,0.027051,0.016637
